food,landUse,farm,animalFeed,others
Apples,-0.028951464,0.225815762,0.0,0.160728641
Bananas,-0.025533871,0.269618358,0.0,0.4426272680000001
Barley,0.00867555,0.176376721,0.0,0.923427257
Beef (beef herd),23.23753584,56.22806279,2.680978528,2.890829876
Beef (dairy herd),1.266022291,21.91552941,3.503673404,2.768655673
Beet Sugar,5.19e-05,0.535721306,0.0,1.0000407679999999
Berries & Grapes,0.024600997,0.71784815,0.0,0.46454097400000005
Brassicas,0.002242361,0.277745354,0.0,0.15678783999999998
Cane Sugar,1.263040556,0.491269852,0.0,0.952891455
Cassava,0.589435664,0.219993617,0.0,0.177741744
Cheese,4.467476309,13.0955392,2.35305756,1.3843716280000002
Citrus Fruit,-0.145953655,0.306732538,0.0,0.155275742
Coffee,3.818798535,10.75444008,0.0,2.487696378
Dark Chocolate,25.81483298,6.68700226,0.0,1.204701121
Eggs,0.710381288,1.319636556,2.205012424,0.281117222
Fish (farmed),1.194717129,8.056114834,1.834420269,0.52007027
Groundnuts,0.4851524,1.575954219,0.0,0.699827203
Lamb & Mutton,0.648246975,27.02574947,3.283170334,2.8668681320000005
Maize,0.475169036,0.717274411,0.0,0.298276828
Milk,0.51222255,1.508862035,0.243814063,0.6127546739999999
Nuts,-3.257812133,3.374406815,0.0,0.324540132
Oatmeal,0.001931697,1.872373655,0.0,0.278725792
Olive Oil,-0.323684317,3.672172059,0.0,1.7607420710000001
Onions & Leeks,0.004808972,0.211039002,0.0,0.178816562
Other Fruit,0.127035306,0.372578972,0.0,0.25711615099999996
Other Pulses,0.033302446,1.08871478,0.0,0.48872930800000003
Other Vegetables,0.001180576,0.176173078,0.0,0.282837666
Palm Oil,2.755585078,1.875131956,0.0,2.137288328
Peas,0.000118777,0.717159966,0.0,0.179211435
Pig Meat,2.244068682,2.477097669,4.298476294,1.6274880390000002
Potatoes,-0.001315101,0.193083415,0.0,0.17766008
Poultry Meat,3.508428798,0.927821834,2.452357033,1.5251300209999998
Rapeseed Oil,0.195574761,2.156630103,0.0,1.172201152
Rice,-0.02187964,3.553953627,0.0,0.308055201
Root Vegetables,0.013389332,0.153994029,0.0,0.197287011
Shrimps (farmed),0.330563074,13.45397854,4.029938567,1.219360012
Soy milk,0.179971835,0.092768045,0.0,0.640912001
Soybean Oil,2.866183849,1.406293945,0.0,1.390197321
Sunflower Oil,0.122421009,1.976377998,0.0,1.219043748
Tofu,0.958229607,0.494701474,0.0,1.418342857
Tomatoes,0.372987265,0.705446792,0.0,0.351855224
Wheat & Rye,0.097130028,0.820300153,0.0,0.478457792
Wine,-0.061264312,0.626026936,0.0,1.020464438
